Nama,Latitude,Longitude,Tipe,Deskripsi
Lawang Sewu,-6.9840,110.4105,Wisata Sejarah,Bangunan bersejarah peninggalan Belanda dengan banyak pintu.
Simpang Lima,-6.9903,110.4229,Landmark,"Alun-alun pusat kota Semarang, tempat berkumpul populer."
Masjid Agung Jawa Tengah,-6.9892,110.4452,Tempat Ibadah,Masjid besar dengan arsitektur megah dan menara pandang Asmaul Husna.
Klenteng Sam Poo Kong,-6.9980,110.4030,Tempat Ibadah,Klenteng bersejarah peninggalan Laksamana Cheng Ho.
Brown Canyon,-7.0375,110.4875,Wisata Alam,"Tebing bekas penambangan galian C yang unik menyerupai Grand Canyon."
Lumpia Gang Lombok,-6.9718,110.4255,Kuliner,Salah satu tempat makan lumpia legendaris dan otentik di Semarang.
Kota Lama,-6.9690,110.4250,Wisata Sejarah,"Kawasan cagar budaya dengan bangunan-bangunan kuno bergaya Eropa."
Pantai Marina,-6.9585,110.3875,Wisata Alam,Kawasan pantai rekreasi di bagian utara kota.
Kampoeng Kopi Banaran,-7.2780,110.4010,Wisata Alam,"Agrowisata kebun kopi dengan pemandangan dan restoran."
Toko Oen,-6.9715,110.4235,Kuliner,Restoran dan toko es krim legendaris sejak zaman kolonial.
Museum Ranggawarsita,-6.9855,110.3881,Museum,"Museum yang menyimpan berbagai koleksi sejarah Jawa Tengah."
Balaikota Semarang,-6.9824,110.4132,Kantor Pemerintahan,Pusat pemerintahan kota Semarang.
Taman Srigunting,-6.9681,110.4272,Taman Kota,"Taman yang terletak di tengah kawasan Kota Lama Semarang."
Taman Indonesia Kaya,-6.9920,110.4199,Taman Kota,Taman yang terletak di dekat Simpang Lima.
Taman Singosari,-6.9991,110.4241,Taman Kota,"Ruang Terbuka Hijau (RTH) yang terletak di tengah kota."
Kantor Gurbernur Jawa tengah,-6.9936,110.4202,Kantor Pemerintahan,Pusat kegiatan pemerintahan provinsi jawa tengah.
Museum Polri,-7.0108,110.4182,Museum,"Tempat bersejarah Kepolisian Negara Republik Indonesia."
